matcher,index,points,range,zone,radius,found,repeat,timesum,timeavg
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.03125,0.03125,3,100,13,0.131
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.03125,0.015625,1,100,7,0.071
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.03125,0.0078125,1,100,5,0.057
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.015625,0.5,803,100,799,8.000
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.015625,0.25,202,100,221,2.213
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.015625,0.125,48,100,67,0.677
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.015625,0.0625,12,100,23,0.236
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.015625,0.03125,1,100,11,0.114
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.015625,0.015625,1,100,6,0.061
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.015625,0.0078125,1,100,4,0.048
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.0078125,0.5,806,100,905,9.055
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.0078125,0.25,203,100,248,2.490
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.0078125,0.125,49,100,75,0.755
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.0078125,0.0625,9,100,26,0.270
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.0078125,0.03125,2,100,12,0.128
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.0078125,0.015625,1,100,6,0.063
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.0078125,0.0078125,1,100,5,0.052
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.5,0.5,50,100,3946,39.470
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.5,0.25,10,100,2163,21.638
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.5,0.125,4,100,2087,20.872
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.5,0.0625,1,100,2143,21.439
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.5,0.03125,1,100,2104,21.042
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.5,0.015625,1,100,2050,20.502
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.5,0.0078125,1,100,2054,20.545
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.25,0.5,51,100,3624,36.247
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.25,0.25,13,100,1788,17.884
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.25,0.125,2,100,1125,11.258
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.25,0.0625,1,100,1128,11.284
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.25,0.03125,1,100,1122,11.226
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.25,0.015625,1,100,1123,11.235
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.25,0.0078125,1,100,1122,11.225
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.125,0.5,51,100,3005,30.051
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.125,0.25,11,100,1444,14.445
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.125,0.125,3,100,791,7.916
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.125,0.0625,1,100,522,5.226
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.125,0.03125,1,100,547,5.472
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.125,0.015625,1,100,560,5.607
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.125,0.0078125,1,100,561,5.613
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.0625,0.5,48,100,2694,26.940
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.0625,0.25,10,100,1141,11.417
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.0625,0.125,4,100,667,6.672
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.0625,0.0625,1,100,370,3.702
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.0625,0.03125,1,100,222,2.222
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.0625,0.015625,1,100,221,2.216
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.0625,0.0078125,1,100,222,2.220
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.03125,0.5,49,100,2656,26.570
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.03125,0.25,13,100,1161,11.611
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.03125,0.125,4,100,4043,40.438
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.03125,0.0625,1,100,142,1.427
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.03125,0.03125,1,100,122,1.228
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.03125,0.015625,1,100,114,1.142
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.03125,0.0078125,1,100,110,1.101
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.015625,0.5,47,100,2281,22.813
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.015625,0.25,9,100,1040,10.401
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.015625,0.125,2,100,583,5.837
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.015625,0.0625,1,100,222,2.228
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.015625,0.03125,1,100,192,1.929
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.015625,0.015625,1,100,84,0.840
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.015625,0.0078125,1,100,49,0.497
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.0078125,0.5,49,100,1386,13.861
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.0078125,0.25,10,100,749,7.499
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.0078125,0.125,2,100,368,3.681
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.0078125,0.0625,1,100,149,1.491
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.0078125,0.03125,1,100,122,1.221
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.0078125,0.015625,1,100,71,0.715
HsqlZoneMatcherImpl,SEPARATE,4198401,128.0,0.0078125,0.0078125,1,100,42,0.424
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.5,0.5,203,100,6327,63.278
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.5,0.25,51,100,3598,35.983
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.5,0.125,10,100,3658,36.588
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.5,0.0625,3,100,3804,38.042
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.5,0.03125,1,100,3951,39.518
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.5,0.015625,1,100,3999,39.993
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.5,0.0078125,1,100,3949,39.495
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.25,0.5,201,100,4913,49.137
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.25,0.25,49,100,2686,26.863
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.25,0.125,10,100,1370,13.708
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.25,0.0625,3,100,4605,46.054
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.25,0.03125,1,100,1634,16.343
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.25,0.015625,1,100,1870,18.705
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.25,0.0078125,1,100,1319,13.192
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.125,0.5,201,100,4397,43.977
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.125,0.25,50,100,1951,19.513
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.125,0.125,13,100,999,9.997
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.125,0.0625,4,100,642,6.429
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.125,0.03125,1,100,614,6.148
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.125,0.015625,1,100,609,6.099
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.125,0.0078125,1,100,609,6.097
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.0625,0.5,207,100,5118,51.182
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.0625,0.25,49,100,1774,17.745
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.0625,0.125,10,100,759,7.590
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.0625,0.0625,3,100,430,4.308
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.0625,0.03125,1,100,279,2.795
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.0625,0.015625,1,100,282,2.824
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.0625,0.0078125,1,100,279,2.796
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.03125,0.5,203,100,4035,40.357
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.03125,0.25,50,100,1662,16.621
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.03125,0.125,12,100,826,8.265
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.03125,0.0625,2,100,449,4.496
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.03125,0.03125,1,100,254,2.543
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.03125,0.015625,1,100,149,1.498
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.03125,0.0078125,1,100,150,1.503
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.015625,0.5,200,100,4274,42.747
HsqlZoneMatcherImpl,SEPARATE,4198401,64.0,0.015625,0.25,52,100,1640,16.401
